treatment,response,cov1,cov2,cov3
1,-2.12419213,0.680322033,-2.047891695,0.009079048
0,-0.959855582,0.052783942,-1.290770545,0.92173266
1,5.820982384,-0.765591097,0.99023501,1.666924938
1,-1.231501787,0.259403019,-1.749782621,-0.509321767
1,3.947513126,0.469297583,1.314703235,0.500453802
1,5.60665533,0.648549871,0.311965426,0.190877329
0,0.905530592,-0.104917776,1.350681733,-0.794577766
1,1.365277263,1.209027417,1.763158791,0.015076025
1,3.256182508,-0.170219427,-0.245160726,0.163263394
1,4.060985381,-0.045568797,0.320776935,0.065448534
0,-2.837905455,-0.782950897,-0.007688923,-1.591407231
1,3.124370834,0.582414373,-0.824816036,0.094657397
0,-0.125722705,-0.531158012,0.778037529,-0.576058428
1,1.484727943,-0.766830738,2.180831516,0.455767612
1,1.829428762,0.446317884,-1.324202223,0.358274795
1,3.257712309,-0.841013345,-0.810394934,1.192243112
1,3.005583877,1.57708635,-0.952679914,-0.284584843
1,0.426597711,0.206822043,-1.510864758,0.175771628
0,-2.724271948,-0.971884784,-0.835164053,-0.900190043
1,3.797648882,0.539042386,-0.509366596,1.240961309
1,5.346100509,-0.574247433,0.030887116,2.074835926
0,0.257248379,0.964191966,0.593294582,0.417029681
1,2.356330161,-0.421626447,-0.482609913,-0.226780821
1,3.130549755,-0.463334529,-1.050167845,0.971662739
0,-0.596051073,-0.850468879,-1.321298154,0.431099307
0,1.72660178,-0.030236162,0.45028246,-1.148131721
1,2.879595636,0.301641836,-0.097057704,-0.386817155
1,2.952276221,0.018312731,-0.059607155,0.048119087
1,-1.390530535,0.165713114,-1.858527563,-0.295451787
1,2.237030495,-0.131084613,0.157882854,0.828312583
0,1.890992504,-1.376325004,-1.101156073,1.060857277
0,8.096487027,-2.503920539,-0.175767284,1.647404718
0,-0.600252055,-1.071481482,0.186122569,-0.719562601
0,-0.161465312,-0.091274953,-0.354002629,-1.194584834
1,0.996429503,-0.328820834,-0.555356319,-0.862910798
1,4.083587035,0.937223631,0.215961669,0.632787512
1,3.980557878,1.198640351,1.69019772,-0.674755732
0,0.760239181,-0.533540489,-0.836705547,1.032431363
0,6.692856671,-2.722503709,-0.392583427,1.55983302
0,-4.618968801,-1.208917179,-0.100660109,-1.800608953
0,-0.498029085,0.573143255,-0.62298574,-1.790500546
0,-3.908194261,-1.222383188,-0.202668419,-2.033522626
1,1.958030068,-1.001126513,-0.053560028,-0.379849521
1,-0.311618794,0.214958283,-1.836024045,-0.941033413
1,3.196412004,1.250198339,-0.355485978,-1.037287478
0,4.228205721,-1.074208996,-0.394221805,1.758448992
1,3.997564703,0.375232395,-0.107909963,1.118680832
1,3.570665628,0.26251539,0.343686456,-0.303439037
1,3.168977628,0.72244287,-0.354254839,-0.516375927
1,3.657071599,-0.63012445,-0.755186217,0.881360932
1,3.138073002,1.154648238,-0.658381948,0.313384908
1,4.346166782,0.774516771,-0.253912818,0.269331884
1,3.384857728,-0.126953125,0.485887229,-0.913939046
0,0.147732295,-0.504634241,0.78631639,-0.573545411
1,2.324980115,-0.615570647,1.444934161,0.26791371
0,0.061951368,-1.167298377,-0.21699286,-0.320622732
0,-2.970786725,-0.634610125,2.239537732,-1.117305367
1,5.208494732,-0.810253587,-0.619591532,1.766878271
0,-2.041760354,-2.688092534,-0.790078315,0.201648145
1,4.243532846,1.138797701,0.032410733,-0.669492586
1,-0.140930048,1.1340448,-1.355866107,1.179042513
0,0.06592611,0.09701211,-0.80588129,0.521234283
0,0.355109786,-1.413653554,-0.405728447,0.145281621
0,2.506543402,0.945379881,0.580695641,-2.078469756
1,3.455410311,-0.513818152,-0.363740642,0.527733151
1,0.03484211,-0.127966883,1.779299315,-1.360985886
0,2.223046984,0.879160169,0.238734059,-1.623632728
0,2.548960837,1.520603078,0.524011706,-0.901963597
1,3.145066083,-0.217001502,0.848284343,0.212342419
0,-0.425773532,0.930188139,0.893777946,-0.636176337
1,3.214145493,0.772328549,-0.047945762,-0.488205411
0,2.194229394,-0.829921124,-1.07491575,1.941922415
